Security Name	ATR	ATR2	Close	Stop	Ticker Symbol	Location	
SCINTRONIX CORP	0.0010	0.0021	0.0240	0.0219	T20	C:\ms\sgx2	
SC GLOBAL DEV LTD	0.0009	0.0018	1.7950	1.7932	D2S	C:\ms\sgx2	
SBS TRANSIT LTD	0.0173	0.0346	1.4200	1.3854	S61	C:\ms\sgx2	
SBI OFFSHORE LIMITED	0.0003	0.0006	0.1200	0.1194	5PL	C:\ms\sgx2	
SATS LTD	0.0581	0.1163	3.2600	3.1437	S58	C:\ms\sgx2	
SARIN TECHNOLOGIES LTD	0.0404	0.0808	1.4050	1.3242	U77	C:\ms\sgx2	
SAPPHIRE CORPORATION LIMITED	0.0029	0.0059	0.1130	0.1071	NF1	C:\ms\sgx2	
SANTAK HOLDINGS LIMITED	0.0053	0.0107	0.3450	0.3343	580	C:\ms\sgx2	
SAN TEH LIMITED	0.0058	0.0117	0.3150	0.3033	S46	C:\ms\sgx2	
SAMUDERA SHIPPING LINE LTD	0.0054	0.0107	0.1700	0.1593	S56	C:\ms\sgx2	
SAMKO TIMBER LIMITED	0.0022	0.0044	0.1360	0.1316	E6R	C:\ms\sgx2	
SAKAE HOLDINGS LTD	0.0117	0.0234	0.3950	0.3716	5DO	C:\ms\sgx2	
SAIZEN REAL ESTATE INV TRUST	0.0045	0.0090	0.1830	0.1740	DZ8U	C:\ms\sgx2	
SABANA SHARI'AH COMPLIANT REIT	0.0273	0.0547	1.2200	1.1653	M1GU	C:\ms\sgx2	
S I2I LIMITED	0.0011	0.0022	0.0220	0.0198	M09	C:\ms\sgx2	
RYOBI KISO HOLDINGS LTD.	0.0015	0.0030	0.1230	0.1200	J8O	C:\ms\sgx2	
ROXY-PACIFIC HOLDINGS LIMITED	0.0109	0.0218	0.6000	0.5782	E8Z	C:\ms\sgx2	
ROWSLEY LTD	0.0159	0.0317	0.4250	0.3933	A50	C:\ms\sgx2	
ROTARY ENGINEERING LIMITED	0.0176	0.0351	0.4900	0.4549	R07	C:\ms\sgx2	
ROKKO HOLDINGS LTD.	0.0000	0.0001	0.1080	0.1079	5LU	C:\ms\sgx2	
RIVERSTONE HOLDINGS LIMITED	0.0108	0.0216	0.5200	0.4984	AP4	C:\ms\sgx2	
RICKMERS MARITIME	0.0071	0.0142	0.2800	0.2658	B1ZU	C:\ms\sgx2	
RH PETROGAS LIMITED	0.0042	0.0084	0.5000	0.4916	T13	C:\ms\sgx2	
REYPHON AGRICEUTICAL LIMITED	0.0031	0.0062	0.0800	0.0738	CZ3	C:\ms\sgx2	
RENEWABLE ENERGY ASIA GRP LTD	0.0019	0.0039	0.0530	0.0491	5DW	C:\ms\sgx2	
RELIGARE HEALTH TRUST	0.0196	0.0393	0.9500	0.9107	RF1U	C:\ms\sgx2	
RAMBA ENERGY LIMITED	0.0293	0.0587	0.6050	0.5463	R14	C:\ms\sgx2	
RAFFLES MEDICAL GROUP LTD	0.0534	0.1068	3.3100	3.2032	R01	C:\ms\sgx2	
RAFFLES EDUCATION CORP LTD	0.0087	0.0173	0.3250	0.3077	NR7	C:\ms\sgx2	
R H ENERGY LTD.	0.0026	0.0053	0.1600	0.1547	CL7	C:\ms\sgx2	
QINGMEI GROUP HOLDINGS LIMITED	0.0019	0.0037	0.0520	0.0483	KT9	C:\ms\sgx2	
QIAN HU CORPORATION LIMITED	0.0008	0.0016	0.0920	0.0904	552	C:\ms\sgx2	
QAF LTD	0.0224	0.0449	1.0500	1.0051	Q01	C:\ms\sgx2	
Q & M DENTAL GROUP (S) LIMITED	0.0063	0.0125	0.3000	0.2875	QC7	C:\ms\sgx2	
PTERIS GLOBAL LIMITED	0.0019	0.0039	0.1210	0.1171	J74	C:\ms\sgx2	
PT BERLIAN LAJU TANKER TBK	0.0000	0.0000	0.0270	0.0270	B66	C:\ms\sgx2	
PSL HOLDINGS LTD	0.0055	0.0109	0.2200	0.2091	L6T	C:\ms\sgx2	
PRUDENTIAL PLC	0.0006	0.0012	15.4000	15.3988	K6S	C:\ms\sgx2	
PROGEN HOLDINGS LTD	0.0010	0.0021	0.1500	0.1479	583	C:\ms\sgx2	
POWERMATIC DATA SYSTEMS LTD	0.0013	0.0026	0.1560	0.1534	P12	C:\ms\sgx2	
POPULAR HOLDINGS LTD	0.0058	0.0117	0.2900	0.2783	P29	C:\ms\sgx2	
POLLUX PROPERTIES LTD	0.0024	0.0049	0.0820	0.0771	5AE	C:\ms\sgx2	
POLARIS	0.0019	0.0038	0.0280	0.0242	5BI	C:\ms\sgx2	
POH TIONG CHOON LOGISTICS LTD	0.0168	0.0336	0.6000	0.5664	P01	C:\ms\sgx2	
PNE MICRON HOLDINGS LTD	0.0011	0.0022	0.0340	0.0318	5BS	C:\ms\sgx2	
PNE INDUSTRIES LTD	0.0004	0.0007	0.0860	0.0853	P07	C:\ms\sgx2	
PLATO CAPITAL	0.0013	0.0026	0.1930	0.1904	5PI	C:\ms\sgx2	
PLASTOFORM HOLDINGS LIMITED	0.0014	0.0029	0.0380	0.0351	P82	C:\ms\sgx2	
PHARMESIS INTERNATIONAL LTD.	0.0001	0.0001	0.0320	0.0319	P31	C:\ms\sgx2	
PETRA FOODS LIMITED	0.0538	0.1076	4.2000	4.0924	P34	C:\ms\sgx2	
